//Arg Number,Name,Min,Max,Default,Mult,Add,Bit,Desc
1,acc_x_neutral,,,,1,0,,
2,acc_y_neutral,,,,1,0,,
3,acc_z_neutral,,,,1,0,,
4,gyro_x_neutral,,,,1,0,,
5,gyro_y_neutral,,,,1,0,,
6,gyro_z_neutral,,,,1,0,,

7,telemetry_basicgps,0,10,,1,0,,
8,telemetry_ppm,0,10,,1,0,,
9,telemetry_gyroaccraw,0,10,,1,0,,
10,telemetry_gyroaccproc,0,10,,1,0,,
11,telemetry_pressuretemp,0,10,,1,0,,
12,telemetry_attitude,0,10,,1,0,,

13,gps_initial_baudrate,,,,10,0,,
14,gps_operational_baudrate,,,,10,0,,

15,channel_ap,,,,1,1,,
16,channel_motor,,,,1,1,,
17,channel_pitch,,,,1,1,,
18,channel_roll,,,,1,1,,
19,channel_yaw,,,,1,1,,

20,pid_pitch2elevator_p,,,,1,0,,
21,pid_pitch2elevator_d,,,,1,0,,
22,pid_pitch2elevator_i,,,,1,0,,
23,pid_pitch2elevator_imin,,,,1,0,,
24,pid_pitch2elevator_imax,,,,1,0,,
25,pid_pitch2elevator_dmin,,,,1,0,,

26,pid_roll2aileron_p,,,,1,0,,
27,pid_roll2aileron_d,,,,1,0,,
28,pid_roll2aileron_i,,,,1,0,,
29,pid_roll2aileron_imin,,,,1,0,,
30,pid_roll2aileron_imax,,,,1,0,,
31,pid_roll2aileron_dmin,,,,1,0,,

32,pid_heading2roll_p,,,,1,0,,
33,pid_heading2roll_d,,,,1,0,,
34,pid_heading2roll_i,,,,1,0,,
35,pid_heading2roll_imin,,,,1,0,,
36,pid_heading2roll_imax,,,,1,0,,
37,pid_heading2roll_dmin,,,,1,0,,

38,pid_altitude2pitch_p,,,,1,0,,
39,pid_altitude2pitch_d,,,,1,0,,
40,pid_altitude2pitch_i,,,,1,0,,
41,pid_altitude2pitch_imin,,,,1,0,,
42,pid_altitude2pitch_imax,,,,1,0,,
43,pid_altitude2pitch_dmin,,,,1,0,,

44,servo_reverse[0],,,,1,0,1,
44,servo_reverse[1],,,,1,0,2,
44,servo_reverse[2],,,,1,0,4,
44,servo_reverse[3],,,,1,0,8,
44,servo_reverse[4],,,,1,0,16,
44,servo_reverse[5],,,,1,0,32,

45,servo_min[0],,,,1,0,,
46,servo_max[0],,,,1,0,,
47,servo_neutral[0],,,,1,0,,

48,servo_min[1],,,,1,0,,
49,servo_max[1],,,,1,0,,
50,servo_neutral[1],,,,1,0,,

51,servo_min[2],,,,1,0,,
52,servo_max[2],,,,1,0,,
53,servo_neutral[2],,,,1,0,,

54,servo_min[3],,,,1,0,,
55,servo_max[3],,,,1,0,,
56,servo_neutral[3],,,,1,0,,

57,servo_min[4],,,,1,0,,
58,servo_max[4],,,,1,0,,
59,servo_neutral[4],,,,1,0,,

60,servo_min[5],,,,1,0,,
61,servo_max[5],,,,1,0,,
62,servo_neutral[5],,,,1,0,,

63,rc_ppm,,,,1,0,,

64,control_mixing,,,,1,0,,
65,control_max_pitch,,,,1,0,,
66,control_max_roll,,,,1,0,,

67,control_waypoint_radius,,,,1,0,,
68,control_cruising_speed,,,,1,0,,
69,control_stabilization_with_altitude_hold,,,,1,0,,
70,control_aileron_differential,,,,1,0,,
71,telemetry_control,,,,1,0,,

